timestamp,elapsed_s,ready,total,hpa_desired,hpa_current
2026-04-06T06:22:01Z,0,3,3,390716074666m/700Mi,3
2026-04-06T06:22:09Z,8,3,3,390826666666m/700Mi,3
2026-04-06T06:22:17Z,16,3,3,390826666666m/700Mi,3
2026-04-06T06:22:25Z,24,3,3,390740650666m/700Mi,3
2026-04-06T06:22:33Z,32,3,3,390740650666m/700Mi,3
2026-04-06T06:22:41Z,40,3,3,390858069333m/700Mi,3
2026-04-06T06:22:49Z,48,3,3,390858069333m/700Mi,3
2026-04-06T06:22:57Z,56,3,3,390968661333m/700Mi,3
2026-04-06T06:23:05Z,64,3,3,390968661333m/700Mi,3
2026-04-06T06:23:13Z,72,3,3,391193941333m/700Mi,3
2026-04-06T06:23:22Z,80,3,3,391193941333m/700Mi,3
2026-04-06T06:23:30Z,89,3,3,391423317333m/700Mi,3
2026-04-06T06:23:38Z,97,3,3,391423317333m/700Mi,3
2026-04-06T06:23:46Z,105,3,3,391412394666m/700Mi,3
2026-04-06T06:23:54Z,113,3,3,391467008/700Mi,3
2026-04-06T06:24:02Z,121,3,3,391467008/700Mi,3
2026-04-06T06:24:10Z,129,3,3,393393493333m/700Mi,3
2026-04-06T06:24:18Z,137,3,3,393393493333m/700Mi,3
2026-04-06T06:24:26Z,145,3,3,395479722666m/700Mi,3
2026-04-06T06:24:35Z,153,3,3,395479722666m/700Mi,3
2026-04-06T06:24:43Z,162,3,5,400147797333m/700Mi,3
2026-04-06T06:24:51Z,170,3,5,400147797333m/700Mi,3
2026-04-06T06:24:59Z,178,3,5,405094400/700Mi,3
2026-04-06T06:25:07Z,186,3,5,405094400/700Mi,3
2026-04-06T06:25:15Z,194,3,5,405181781333m/700Mi,3
2026-04-06T06:25:23Z,202,3,5,405181781333m/700Mi,3
2026-04-06T06:25:32Z,210,3,5,407161514666m/700Mi,3
2026-04-06T06:25:40Z,219,3,5,407846912/700Mi,3
2026-04-06T06:25:48Z,227,3,7,407846912/700Mi,3
2026-04-06T06:25:56Z,235,3,7,411616597333m/700Mi,3
2026-04-06T06:26:04Z,243,3,7,411616597333m/700Mi,3
2026-04-06T06:26:13Z,252,3,7,416538624/700Mi,3
2026-04-06T06:26:21Z,260,3,7,416538624/700Mi,3
2026-04-06T06:26:29Z,268,3,7,419834538666m/700Mi,3
2026-04-06T06:26:37Z,276,3,7,419834538666m/700Mi,3
2026-04-06T06:26:45Z,284,3,9,422176085333m/700Mi,3
2026-04-06T06:26:53Z,292,3,9,422176085333m/700Mi,3
2026-04-06T06:27:01Z,300,3,9,423941461333m/700Mi,3
2026-04-06T06:27:09Z,308,3,9,423941461333m/700Mi,3
2026-04-06T06:27:17Z,316,3,9,423900501333m/700Mi,3
2026-04-06T06:27:25Z,324,3,9,423824042666m/700Mi,3
2026-04-06T06:27:34Z,332,3,9,423824042666m/700Mi,3
2026-04-06T06:27:42Z,341,3,9,423833600/700Mi,3
2026-04-06T06:27:50Z,349,3,9,423833600/700Mi,3
2026-04-06T06:27:58Z,357,3,9,421613568/700Mi,3
2026-04-06T06:28:06Z,365,3,9,421613568/700Mi,3
2026-04-06T06:28:14Z,373,3,9,416643754666m/700Mi,3
2026-04-06T06:28:22Z,381,3,9,416643754666m/700Mi,3
2026-04-06T06:28:30Z,389,3,9,416516778666m/700Mi,3
2026-04-06T06:28:38Z,397,3,9,416516778666m/700Mi,3
2026-04-06T06:28:46Z,405,3,9,416520874666m/700Mi,3
2026-04-06T06:28:54Z,413,3,9,416520874666m/700Mi,3
2026-04-06T06:29:03Z,421,3,9,416348842666m/700Mi,3
2026-04-06T06:29:11Z,430,3,9,416348842666m/700Mi,3
2026-04-06T06:29:19Z,438,3,9,416265557333m/700Mi,3
2026-04-06T06:29:27Z,446,3,9,416332458666m/700Mi,3
2026-04-06T06:29:35Z,454,3,9,416332458666m/700Mi,3
2026-04-06T06:29:43Z,462,3,9,416499029333m/700Mi,3
2026-04-06T06:29:51Z,470,3,9,416499029333m/700Mi,3
2026-04-06T06:29:59Z,478,3,9,416497664/700Mi,3
2026-04-06T06:30:07Z,486,3,9,416497664/700Mi,3
2026-04-06T06:30:15Z,494,3,9,416497664/700Mi,3
2026-04-06T06:30:23Z,502,3,9,416497664/700Mi,3
2026-04-06T06:30:32Z,510,3,9,416464896/700Mi,3
2026-04-06T06:30:40Z,519,3,9,416464896/700Mi,3
2026-04-06T06:30:48Z,527,3,9,416464896/700Mi,3
2026-04-06T06:30:56Z,535,3,9,416464896/700Mi,3
2026-04-06T06:31:04Z,543,3,9,416473088/700Mi,3
2026-04-06T06:31:12Z,551,3,9,416473088/700Mi,3
2026-04-06T06:31:20Z,559,3,9,416473088/700Mi,3
2026-04-06T06:31:28Z,567,3,9,416470357333m/700Mi,3
2026-04-06T06:31:36Z,575,3,9,416470357333m/700Mi,3
2026-04-06T06:31:44Z,583,3,9,416471722666m/700Mi,3
2026-04-06T06:31:52Z,591,3,9,416471722666m/700Mi,3
2026-04-06T06:32:00Z,599,3,8,416471722666m/700Mi,3
2026-04-06T06:32:08Z,607,3,8,416471722666m/700Mi,3
2026-04-06T06:32:16Z,615,3,8,416471722666m/700Mi,3
2026-04-06T06:32:24Z,623,3,8,416471722666m/700Mi,3
2026-04-06T06:32:32Z,631,3,8,416471722666m/700Mi,3
2026-04-06T06:32:40Z,639,3,8,416471722666m/700Mi,3
2026-04-06T06:32:48Z,647,3,8,295442022400m/700Mi,3
2026-04-06T06:32:56Z,655,3,8,295442022400m/700Mi,3
2026-04-06T06:33:04Z,663,3,7,297034547200m/700Mi,3
2026-04-06T06:33:12Z,671,3,7,297034547200m/700Mi,3
2026-04-06T06:33:20Z,679,3,7,319840256/700Mi,3
2026-04-06T06:33:28Z,687,3,7,339630489600m/700Mi,3
2026-04-06T06:33:36Z,695,3,7,339630489600m/700Mi,3
2026-04-06T06:33:44Z,703,3,7,369907302400m/700Mi,3
2026-04-06T06:33:52Z,711,3,7,369907302400m/700Mi,3
2026-04-06T06:34:00Z,719,3,6,377475891200m/700Mi,3
2026-04-06T06:34:08Z,727,3,6,377475891200m/700Mi,3
2026-04-06T06:34:16Z,735,4,6,384967475200m/700Mi,3
2026-04-06T06:34:24Z,743,5,6,384967475200m/700Mi,3
2026-04-06T06:34:32Z,751,5,6,390144k/700Mi,3
2026-04-06T06:34:40Z,759,5,6,390144k/700Mi,3
2026-04-06T06:34:48Z,767,5,6,390242304/700Mi,3
2026-04-06T06:34:56Z,775,5,6,390242304/700Mi,3
2026-04-06T06:35:04Z,783,5,5,390320947200m/700Mi,3
2026-04-06T06:35:12Z,791,5,5,390320947200m/700Mi,3
2026-04-06T06:35:20Z,799,5,5,390405324800m/700Mi,3
2026-04-06T06:35:28Z,807,5,5,390405324800m/700Mi,3
2026-04-06T06:35:36Z,815,5,5,390443827200m/700Mi,3
2026-04-06T06:35:44Z,823,5,5,390542950400m/700Mi,3
2026-04-06T06:35:53Z,831,5,5,390542950400m/700Mi,3
2026-04-06T06:36:01Z,840,5,4,390592921600m/700Mi,3
2026-04-06T06:36:09Z,848,4,4,390592921600m/700Mi,3
